title,authors,subject,publish_year,description,rating
"Olivia, or, The weight of the past",Judith Rossner,cooking,1994,"The future is looking bright for Caroline Ferrante. She is a gifted chef and irreverent cooking teacher who has just been tapped for her own television cooking show. Her relationship with her upstairs neighbor Leon - a doctor, yet - is thriving. She even seems to get along with Leon's children from his first marriage. But Caroline's past seems determined to undermine her future.

The rebellious daughter of Manhattan academics, Caroline dropped out of college and fled to Italy as the mother's helper of family friends. There she was able to pursue her great passion, cooking, while also embarking on an affair with Angelo Ferrante, a volatile Sicilian. In fairly short order she found herself pregnant, married, and a full-time chef at the ristorante where Angelo also worked. The business thrived, and Caroline and Angelo's baby, Olivia, was the light of their lives.

Then things started to go sour. Angelo began to quarrel with the restaurant's owners. At home he became increasingly domineering and brazenly unfaithful. And he began to turn his daughter against her mother, using Caroline's Judaism (or rather, his anti-Semitism) as a weapon. Eventually, when Angelo's behavior gave Caroline no choice but to leave Italy, twelve-year-old Olivia chose to stay with her father, refusing even to write or speak to her mother on the phone.

Now Angelo has married a woman Olivia hates even more than she remembers hating her mother, so she decides to join Caroline in New York. But Olivia has a great deal of unfinished business with her mother, and Caroline, who'd dreamed of a loving reunion, instead faces a hostile adolescent who misinterprets her every word and action, present as well as past.

Indeed, overcoming Olivia's resentment - while navigating a burgeoning career, an intensifying romance, and the treacherous straits of raising a teenager - is as tough as any challenge Caroline has faced.

In Looking for Mr. Goodbar, Judith Rossner laid bare the desperation of the 1970s singles scene. In August, she took readers further inside psychoanalysis than anyone believed a novel could go. Now, with Olivia, she weaves a tale of mothers and daughters, of best intentions and bitter regret, of food and rage and love.",
Pioneer Farm Cooking,Mary Gunderson,cooking,2016,,
The man who ate everything,Jeffrey Steingarten,cooking,1997,"When Jeffrey Steingarten was appointed food critic for Vogue, he systematically set out to overcome his distaste for such things as kimchi, lard, Greek cuisine, and blue food. He succeeded at all but the last: Steingarten is fairly sure that God meant the color blue mainly for food that has gone bad. In this impassioned, mouth-watering, and outrageously funny book, Steingarten devotes the same Zen-like discipline and gluttonous curiosity to practically everything that anyone anywhere has ever called dinner.

Follow Steingarten as he jets off to sample choucroute in Alsace, hand-massaged beef in Japan, and the mother of all ice creams in Sicily. Sweat with him as he tries to re-create the perfect sourdough, bottle his own mineral water, and drop excess poundage at a luxury spa. Join him as he mounts a heroic--and hilarious--defense of salt, sugar, and fat (though he has some nice things to say about Olestra). Stuffed with offbeat erudition and recipes so good they ought to be illegal, The Man Who Ate Everything is a gift for anyone who loves food.",4.0
Katie Brown Entertains,"Katie Brown, Katie Brown",cooking,2000,,
Alvin Fernald Foreign Trader,Clifford B. Hicks,cooking,1966,,
The Church Supper Cookbook,David Joachim,cooking,2001,,
Vegan Serendib,Mary Anne Mohanraj,cooking,2022,,
Mixprofi,Katja Winter,cooking,2019,,
Uff Da!,Karen Ganger,cooking,2020,,
Old Time Kitchen Volume 1,Mark Bussler,cooking,2022,,
Berry the Evidence,Peg Cochran,cooking,2022,,
Low Carb Diet,Michelle Ellen Gleen,cooking,2022,,
Professional Cooking,Wayne Gisslen,cooking,2007,,
The Big Book of Wheat-Free Cooking,Antoinette Savill,cooking,2004,,
Young Housekeeper,Alcott William,cooking,2013,,
"New Art of Cookery, According to the Present Practice",Briggs Richard,cooking,2013,,
Mouthful of Stars,Sunee Kim,cooking,2014,,
Cooking from the Heart,Besh John,cooking,2013,,
I'd rather Starve than Cook!,Lisa Orban,cooking,2017,,
Pantropheon,Soyer Alexis,cooking,2013,,
New Hydropathic Cook Book,"Thacher, Trall, Russell",cooking,2013,,
Crumbs from the Round Table,Barber Joseph,cooking,2013,,
Wizarding Kitchen's Guide to Magical Cooking,Juliette Winslow,cooking,2023,,
Salar Khan's Cooking Guide,Salar A. Khan,cooking,2024,,
Balanced Nutrition,Francesca Scerbo,cooking,2024,,
Cooking the South American way,Helga Parnell,cooking,1991,"Introduces the history, land, and food of the countries of South America, and includes recipes for such dishes as black bean casserole from Brazil, beef soup from Argentina, and almond meringue from Chile.",
Recipes from a Chubby Chick,Shakeira Turner,cooking,1981,,
Uncooked Foods & How to Use Them,"Eugene Christian, Mollie Griswold Christian",cooking,1904,,
The Winterlake Lodge Cookbook,Kirsten Dixon,cooking,2003,,
Just Add Water,Kathy Hicks,cooking,2024,,
Let's Cook It Right,Adelle Davis,cooking,1947,,
I Can't Believe It's Gluten Free,Mary Wenrich,cooking,2023,,
Mexico Ancestral Meals,"Adriana Guillen, R. Adrian Davila",cooking,2024,,
Olivia's Cookies,Olivia Sturgess,cooking,2024,,
Cultured Cuisine Presents the Holiday Series,"Nashira McCall, Kayla McCall, Dudley Charlot",cooking,2023,,
CEO Menu,Jill Treat,cooking,2024,,
I Love Jam,Rachel Saunders,cooking,2017,,
Tupelo Honey Southern Spirits & Small Plates,"Elizabeth Sims, Tyler Alford, Eric Gabrynowicz",cooking,2017,,
Breakfast Recipe Queen,"Gail Green, Marci Peschke",cooking,2018,,
Gumbo Life,Ken Wells,cooking,2019,,
Ketogenic Diet,Ben Oliver,cooking,2016,,
Thyroid Diet,Robert Jacobson,cooking,2015,,
Thyroid Diet,Samantha Welti,cooking,2015,,
Diabetes Diet,Alyssa Stone,cooking,2015,,
Alkaline Diet,Samantha Welti,cooking,2015,,
Gluten Free,Robert Jacobson,cooking,2015,,
Professional Cooking,Wayne Gisslen,cooking,2010,,
Nina Capri,Nina Parker,cooking,2016,Over one hundred delicious recipes from the Amalfi Coast.,
"Kale, Glorious Kale",Catherine Walthers,cooking,2014,,
"Gluten-free, Hassle Free",Marlisa Brown,cooking,2009,,
Weber's big book of burgers,Jamie Purviance,cooking,2014,255 p. : 24 cm,3.0
Seriously delish,Jessica Merchant,cooking,2014,"""The eagerly awaited first cookbook from the wildly popular blog How Sweet Eats, Jessica Merchant, creator of the popular food blog How Sweet Eats, has now created her first cookbook, Seriously Delish. Her playfulness jumps off the page in her inventive and incredibly delicious recipes, such as Amaretto-Butternut Squash Soup with Cinnamon Toast Croutons, Mini Crab Cakes with Sweet Corn and Blueberry Salsa, and Fleur de Sel Caramel Bourbon Brownie Milk Shakes. Her sense of humor, which brings millions of visitors to her site, shows through in chapter titles like ""Breakfast (for Dinner?)"" and ""Salad, Soups, and Vegetable-like Things (Ugh, if We Must)."" Merchant makes food that people get excited about, nothing run-of-the-mill or expected. As an added bonus, all of the photographs in the book were taken by Merchant herself, giving her cookbook the personal touch that her fans love and newcomers will appreciate. Seriously Delish features imaginative recipes that are tasty and original and bring readers to a place where cooking becomes adventurous and food becomes fun""--",
The low-FODMAP diet cookbook,Sue Shepherd,cooking,2014,,
All four stars,"Dairman, Tara",cooking,2014,"Eleven-year-old Gladys Gatsby loves food and cooking, so when she lands an assignment to write a restaurant review for a New York City newspaper, she will do anything to make it happen, even risk the wrath of her fast-food loving parents.",
The Diet Bible,Judith Wills,cooking,2001,,
A hint of hydra,Heidi Lang,cooking,2018,"""Thirteen-year-old chef Lailu must uncover the truth behind a murder before the elves and the scientists of Twin Rivers declare war on each other""--",
Wild honey & rye,Ren Behan,cooking,2017,"""In this refreshing approach to Polish cuisine, food writer and blogger Ren Behan takes us on a journey to discover the new tastes of her beloved culinary heritage. The food of Eastern Europe, long misunderstood in the West, is changingthe focus is swinging away from heavy dumplings and stews towards lighter, healthier, fresh and seasonal recipes, served in contemporary ways. In this beautiful collection of recipes, Ren brings us the very best of the Polish kitchen, inspired both by the food of her childhood and by the new wave of flavors to be found in the trendy restaurants, cafes and farmers markets of modern Poland. Alternative grains, such as rye, spelt, buckwheat and millet make an appearance in risottos, as do fresh fruit preserves and pickles, infused honeys, seasonal and raw salads, light broths, delicious cakes and flavored liqueurs. No book on Polish food would be complete without pierogi, the classic dumplings, and of course they are here, with other substantial dishes such as meatballs, goulash and cutlets, as you might expect, but you will also see them in a new lightfilled with strawberries and served with honey and pistachios. Pink sauerkraut adorns vegan pastry rolls, ribs are slowly-braised with honey and vodka, a fresh cucumber salad with sour cream and dill sets off a homely dish of meatballs, and Polish charcuterie sits atop the darkest rye bread. An evocative and inspiring collection of recipes, which truly celebrates all the good things the food of Poland has to offer, and which will leave your mouth watering."" --",
The family meal,Ferran Adrià,cooking,2011,"A collection of simple, tasty and affordable receipes for the dishes that the staff at elBulli eats every day. Shows the reader the step-by-step secrets of how to plan, prepare and cook everyday meals in the easiest way possible.",
Butchery & sausage-making for dummies,Tia Harrison,cooking,2013,"Harrison provides expert tips and instruction to help you butcher your own meat and make homemade sausages! Whether you're interested in supporting local farms or purchasing money-saving large cuts of meat from the grocery story, this guide will provide tips and recipes on getting back-to-basics with meat.",
Tokyo cult recipes,Maori Murota,cooking,2015,,
The complete pregnancy cookbook,Fiona Wilcock,cooking,2002,"Eating a good diet while you're expecting is one of the most important contributions you can make to the health of your child. Written by Fiona Wilcock, a leading pregnancy nutritionist, The Complete Pregnancy Cookbook takes the worry out of what to eat during the nine months of pregnancy, as well as the first few months of life with a new baby. This informative book contains menu plans and recipes that will provide all the necessary nutrients for your changing needs. Readers will find detailed weekly menu plans that outline what to eat for breakfast, lunch and dinner during each week of pregnancy.",
From the kitchen of half truth,Maria Goodin,cooking,2013,"As her mother approaches death, Meg May insists that her mom tell her the truth about who they are and who they used to be, rather than the outlandish tales she always told Meg in her youth.",
Relish,Lucy Knisley,cooking,2013,"""Lucy Knisley loves food. The daughter of a chef and a gourmet, this talented young cartoonist comes by her obsession honestly. In her forthright, thoughtful, and funny memoir, Lucy traces key episodes in her life thus far, framed by what she was eating at the time and lessons learned about food, cooking, and life. Each chapter is bookended with an illustrated recipe-- many of them treasured family dishes, and a few of them Lucy's original inventions""--From publisher's web site.

In her memoir, Lucy traces key episodes in her life thus far, framed by what she was eating at the time and lessons learned about food, cooking, and life. Each chapter is bookended with an illustrated recipe, many of them treasured family dishes.",4.0
